id, title, author, summary, rating, warnings, category, fandoms, relationship, characters, additional_tags, language, published, words, chapters_posted, chapters_total, comments, kudos, bookmarks, hits
"26879098", "Snowballs", "Gwenhwyfar1984", "<p>Leaving it In The Room was supposed to be simple.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "1600", "1", "1", "0", "12", "0", "99"
"26878966", "The Star-Crossed Not-Lovers of SG-1", "Gwenhwyfar1984", "<p>This latest incident of The Star-Crossed Not-Lovers of SG-1 would have people talking for weeks.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "899", "1", "1", "0", "9", "0", "71"
"26840248", "Unchained", "purplejellosg1", "<p>Post-ep/Missing Scene for Chain Reaction. No SG-1 means no chain of command. Sam/Jack.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "2437", "2", "/", "11", "41", "2", "300"
"26776786", "Her Threads Undone", "XWingKC", "<p>Can Carter resume her life as the very threads of her life come undone? This is the first chapter in a multi-chapter for the 2020 Fictober. I have three chapters complete, so for the next three days, you will get a new chapter for Fictober. I'll be working on more this month! </p><p>I marked this for depiction of violence because what happens here is domestic violence. I do know know people's thresholds for men slapping women, so here is the warning.</p><p>Thank you to Mini_Goat for proofing chapter 1.</p>", "['Teen And Up Audiences']", "['Graphic Depictions Of Violence']", "['F/M', 'Multi']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "12521", "4", "/", "52", "55", "2", "644"
"26874889", "Yes, I did, what about it?", "ONeillwith2ls", "<p>Its time for Sam to make some choices, what will they be?</p><p>Takes place both during and after divide and conquer. Can also be read  as part of my episode tags series but you don't have to read one to enjoy the other!</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M', 'Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "1912", "1", "1", "10", "16", "0", "136"
"16663120", "The Most Dangerous Person on the Planet", "QuarkieSoul", "<p>As an old nemesis of Jack's brings fears from their pasts to battle in the present. As they face loss, can Sam and Jack hold on to everything they have built and save the world together yet again... and their marriage, or is the cost too high this time? Sam is compromised, her secrets risks the security of the entire planet.  Set mostly in 2011 during second season of SGU (in the background). Rating is for graphic violence and language.<br/>“Man is not what he thinks he is, he is what he hides.” - André Malraux<br/><em>New chapters added now in October beginning with Chapter 34.</em></p>", "['Mature']", "['Graphic Depictions Of Violence']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "88922", "37", "/", "33", "49", "7", "1628"
"23653348", "The one she wasn't", "bymak", "<p>Eleven-year-old Parker Carter, formally known as Jessica Reynolds, Isabella Danvers, Amanda Sumner, along with her mom, have never stayed in one place for very long. Her mom has always had this sadness that clung to her. Another move, another house, but this time feels different.</p>", "['Teen And Up Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M', 'Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "181475", "71", "/", "735", "260", "23", "7912"
"26865688", "Of Pins and Rings", "XWingKC", "<p>As part of Fictober 2020. Prompt: 14 - You Better Leave Now</p><p>Sam gets promoted by the newly pinned General O'Neill. A little short story that was started by a conversation on Twitter a few weeks ago or so.</p>", "['Teen And Up Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-06", "1256", "1", "1", "18", "49", "2", "248"
"26855365", "Place Of Learning", "captain_sassy_socks", "<p>When Daniel touches something he shouldn’t, Sam and Jack embark on a journey that tests their personal bond.</p>", "['Explicit']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-07", "5847", "1", "1", "12", "51", "2", "392"
"26510212", "Shards of Glass", "Mini_Goat", "<p>Trapped between bad choices SG-1 sacrifices to save each other but the price might be higher than anyone anticipated.</p>", "['Teen And Up Audiences']", "['Rape/Non-Con']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-06", "22850", "10", "/", "119", "68", "8", "1791"
